Sample	theta_1A	theta_2B	theta_3CD	theta_4E	theta_5H	theta_6CDEBAH	theta_7CDEBA	theta_8CDEB	theta_9CDE	tau_6CDEBAH	tau_7CDEBA	tau_8CDEB	tau_9CDE	lnL
188	0.00579	0.006308	0.00605	0.007221	0.004956	0.006568	0.006154	0.01343	0.008565	0.017953	0.009054	0.004276	0.001391	-7881.412
189	0.005944	0.0044	0.005608	0.005571	0.004786	0.0123	0.007903	0.01534	0.006759	0.015507	0.005601	0.004	0.002852	-7860.184
190	0.004621	0.005707	0.005116	0.003365	0.004545	0.015624	0.007304	0.006559	0.01511	0.011894	0.006114	0.003883	0.00203	-7858.81
191	0.005288	0.00405	0.005445	0.005258	0.004837	0.013304	0.007024	0.008463	0.010745	0.018087	0.006648	0.003382	0.00175	-7870.035
192	0.003743	0.004404	0.006286	0.005169	0.0058	0.006896	0.009693	0.01281	0.015303	0.01917	0.007745	0.003946	0.003118	-7863.252
193	0.003742	0.004066	0.004564	0.004556	0.005724	0.007646	0.009571	0.012996	0.012153	0.013287	0.006933	0.003117	0.002424	-7878.886
194	0.005374	0.00608	0.006376	0.011425	0.005358	0.016473	0.005191	0.033196	0.015673	0.012499	0.00634	0.005171	0.001654	-7863.015
195	0.004785	0.005603	0.00753	0.010532	0.005422	0.008019	0.005456	0.011049	0.012835	0.016238	0.006289	0.004309	0.002283	-7873.524
196	0.005978	0.006798	0.007351	0.003705	0.007836	0.011476	0.005277	0.009776	0.010017	0.015547	0.007744	0.003801	0.002861	-7857.172
197	0.006462	0.007528	0.006724	0.004249	0.004466	0.009654	0.00574	0.013207	0.007438	0.011659	0.007459	0.003798	0.002842	-7853.872
198	0.005887	0.005309	0.006322	0.006837	0.003801	0.012597	0.008823	0.007739	0.019111	0.010523	0.006231	0.004373	0.002502	-7861.546
199	0.006312	0.004884	0.00743	0.005329	0.003807	0.007976	0.005781	0.008752	0.00973	0.015649	0.007577	0.004033	0.002056	-7883.342
200	0.007478	0.004461	0.008008	0.005929	0.004205	0.012843	0.009707	0.014201	0.011287	0.015592	0.006002	0.004003	0.003856	-7870.658
201	0.005835	0.003885	0.006174	0.006618	0.00439	0.008171	0.007141	0.011632	0.010658	0.015595	0.008814	0.004389	0.002807	-7865.425
202	0.005438	0.004304	0.005811	0.008381	0.005052	0.007849	0.014581	0.012882	0.005454	0.012216	0.006076	0.0036	0.002477	-7870.185
203	0.005773	0.004877	0.005709	0.01037	0.005344	0.008411	0.013044	0.01108	0.008329	0.013262	0.007323	0.004876	0.002146	-7873.041
204	0.00472	0.005999	0.005595	0.014301	0.005629	0.007497	0.008884	0.00883	0.022514	0.013774	0.006806	0.004254	0.001627	-7867.523
205	0.007461	0.006428	0.004754	0.004719	0.004504	0.011897	0.007622	0.008346	0.009659	0.013679	0.007168	0.004846	0.001534	-7857.287
206	0.004319	0.003996	0.007111	0.011436	0.00439	0.012845	0.005661	0.008374	0.014096	0.015484	0.006046	0.004915	0.002357	-7850.588
207	0.005377	0.00524	0.009029	0.004258	0.004664	0.007784	0.003871	0.009664	0.023326	0.012276	0.008333	0.004645	0.004325	-7864.259
208	0.005505	0.004665	0.005351	0.006488	0.004428	0.005016	0.009407	0.006994	0.032577	0.01393	0.007145	0.003999	0.003845	-7884.011
209	0.005136	0.004503	0.005362	0.003871	0.007531	0.010862	0.011079	0.018583	0.015303	0.017331	0.005262	0.004026	0.002798	-7873.556
210	0.005543	0.004113	0.004361	0.01722	0.005032	0.00845	0.00759	0.015374	0.009541	0.014255	0.006481	0.003238	0.002729	-7871.507
211	0.004058	0.003951	0.003552	0.006455	0.005837	0.009616	0.004563	0.007277	0.011621	0.013737	0.005267	0.003829	0.002338	-7862.924
212	0.003836	0.004201	0.007086	0.007622	0.00684	0.013183	0.007141	0.014863	0.006745	0.016043	0.006405	0.004055	0.003455	-7860.697
213	0.003628	0.004827	0.005601	0.007137	0.004841	0.018426	0.006325	0.036412	0.00887	0.014745	0.004774	0.004009	0.002288	-7861.038
214	0.007283	0.0055	0.007476	0.008087	0.006531	0.005405	0.01151	0.006702	0.008083	0.015306	0.006578	0.003975	0.002331	-7852.948
215	0.007487	0.006247	0.007686	0.013955	0.006714	0.008619	0.005974	0.006059	0.008592	0.015533	0.006484	0.0048	0.001797	-7860.004
216	0.005782	0.005773	0.005016	0.019095	0.005202	0.007761	0.005876	0.01384	0.011597	0.01374	0.007323	0.003708	0.00281	-7861.092
217	0.005199	0.005548	0.00589	0.009267	0.004665	0.009783	0.005251	0.010043	0.014553	0.016035	0.007834	0.004394	0.002237	-7880.416
218	0.004584	0.004776	0.007659	0.013413	0.004351	0.014897	0.008526	0.007019	0.02858	0.012988	0.00587	0.004167	0.00342	-7881.973
219	0.005562	0.004935	0.008272	0.009624	0.00476	0.01094	0.007779	0.005157	0.01499	0.015439	0.007337	0.006349	0.004056	-7878.44
220	0.004886	0.005565	0.006383	0.005572	0.004142	0.013607	0.010197	0.00998	0.039353	0.016909	0.008407	0.005149	0.00404	-7855.07
221	0.005249	0.004666	0.007023	0.00518	0.004989	0.015141	0.006506	0.015031	0.014121	0.015461	0.007954	0.004546	0.002822	-7863.491
222	0.004621	0.004874	0.006598	0.009003	0.005424	0.012573	0.005585	0.016113	0.010559	0.015018	0.007515	0.004383	0.00344	-7861.173
223	0.003444	0.005436	0.006745	0.003878	0.005269	0.012603	0.008946	0.010978	0.020538	0.013075	0.008206	0.004765	0.00212	-7856.634
224	0.003822	0.004031	0.005084	0.003853	0.005157	0.007804	0.007016	0.015963	0.016223	0.014806	0.006587	0.004215	0.001808	-7854.591
225	0.003581	0.005082	0.00641	0.01426	0.00434	0.008273	0.012944	0.007181	0.012198	0.014261	0.008188	0.005823	0.002938	-7870.959
226	0.005147	0.004618	0.005612	0.007987	0.004005	0.007839	0.004959	0.017232	0.032942	0.016053	0.006799	0.00493	0.002422	-7875.614
227	0.004429	0.005581	0.006496	0.00834	0.005148	0.014689	0.007356	0.009634	0.007714	0.014701	0.00786	0.005357	0.002553	-7858.597
228	0.00656	0.006008	0.006624	0.005313	0.004311	0.013513	0.009325	0.007944	0.018114	0.017133	0.008414	0.005348	0.002628	-7868.17
229	0.004976	0.004284	0.005986	0.008523	0.007527	0.015071	0.010942	0.012419	0.011086	0.013487	0.005649	0.003869	0.003173	-7856.741
230	0.00548	0.005812	0.006324	0.004208	0.008864	0.008109	0.005623	0.014886	0.016456	0.018111	0.007365	0.004411	0.002525	-7867.157
231	0.003967	0.004499	0.007771	0.005032	0.002902	0.00501	0.004516	0.010388	0.007245	0.017503	0.008368	0.004096	0.002375	-7864.847
232	0.005478	0.005193	0.005313	0.014525	0.004214	0.012372	0.009264	0.018561	0.012907	0.016427	0.00874	0.005674	0.002161	-7873.377
233	0.004582	0.00508	0.005237	0.004337	0.003644	0.008126	0.007285	0.011624	0.022643	0.013383	0.006768	0.003496	0.002809	-7888.489
234	0.00451	0.003911	0.0061	0.005922	0.004415	0.0172	0.005493	0.006898	0.019315	0.011853	0.006815	0.005116	0.003694	-7885.278
235	0.005092	0.004565	0.006348	0.009704	0.005161	0.024516	0.011517	0.022029	0.015477	0.012766	0.006438	0.006371	0.005862	-7869.404
236	0.004376	0.004519	0.006613	0.005802	0.005419	0.010713	0.00717	0.006508	0.011045	0.012245	0.00678	0.004928	0.003691	-7863.656
237	0.004001	0.004531	0.005944	0.005079	0.005074	0.009918	0.004296	0.008326	0.015794	0.011594	0.007347	0.00379	0.001201	-7874.984
238	0.003518	0.004672	0.00647	0.004641	0.005623	0.011225	0.015194	0.006994	0.01331	0.018249	0.007337	0.004179	0.003856	-7870.848
239	0.003891	0.005192	0.004449	0.007507	0.003993	0.011655	0.005326	0.005143	0.013451	0.013479	0.007835	0.005234	0.002863	-7857.13
240	0.003408	0.005055	0.006652	0.005825	0.005	0.014344	0.004801	0.009223	0.014693	0.012616	0.007175	0.006255	0.004527	-7867.301
241	0.004604	0.004961	0.006476	0.003866	0.003424	0.010797	0.008179	0.012868	0.012537	0.014139	0.006817	0.003701	0.002385	-7865.956
242	0.005094	0.00534	0.007644	0.00615	0.005637	0.006249	0.008558	0.00679	0.008758	0.014137	0.005549	0.004329	0.002038	-7849.086
243	0.00521	0.005202	0.004385	0.006254	0.006515	0.009996	0.014774	0.017189	0.020976	0.014127	0.0055	0.005107	0.003806	-7861.359
244	0.004077	0.004453	0.004863	0.005618	0.007474	0.006974	0.008415	0.039895	0.013904	0.014349	0.004419	0.004016	0.003185	-7870.466
245	0.004056	0.003956	0.006826	0.01027	0.004622	0.007773	0.008389	0.016158	0.013215	0.014038	0.005572	0.005346	0.00413	-7870.37
246	0.005548	0.005807	0.007579	0.004338	0.005307	0.010426	0.007095	0.011987	0.00758	0.013987	0.007263	0.005406	0.003681	-7868.321
247	0.005935	0.005221	0.009858	0.008777	0.003786	0.004754	0.006224	0.010945	0.012799	0.015086	0.007804	0.003891	0.00304	-7874.25
248	0.005938	0.004638	0.009082	0.006342	0.005939	0.011956	0.008081	0.008396	0.012963	0.013726	0.006922	0.004123	0.003365	-7871.327
249	0.006875	0.005274	0.008139	0.006762	0.004928	0.013196	0.005439	0.01306	0.00553	0.012376	0.007406	0.004083	0.003288	-7862.28
250	0.004933	0.004271	0.00777	0.008134	0.004168	0.006974	0.008653	0.011228	0.010979	0.013187	0.006759	0.003637	0.002373	-7865.907
251	0.005631	0.004353	0.005713	0.004837	0.002754	0.012133	0.005176	0.009444	0.015957	0.013499	0.008182	0.004556	0.002081	-7862.525
252	0.004725	0.004395	0.006432	0.005965	0.006096	0.009821	0.005679	0.007514	0.02782	0.014486	0.007835	0.004732	0.002997	-7857.996
253	0.005048	0.005037	0.005134	0.008424	0.006232	0.008587	0.010644	0.009698	0.027419	0.017579	0.005152	0.003889	0.003378	-7871.958
254	0.008062	0.009469	0.007472	0.006074	0.007132	0.006789	0.008022	0.008574	0.007977	0.016163	0.006826	0.005139	0.004109	-7880.116
255	0.006821	0.004054	0.006725	0.004951	0.006133	0.008211	0.00732	0.009143	0.007018	0.01178	0.006088	0.003896	0.00377	-7852.006
256	0.005774	0.005242	0.00583	0.005576	0.006515	0.014791	0.006282	0.018036	0.008756	0.016894	0.007521	0.004909	0.003655	-7856.377
257	0.004129	0.005681	0.007737	0.005599	0.00785	0.007192	0.004617	0.024026	0.00995	0.01351	0.007809	0.004665	0.002012	-7870.273
258	0.004669	0.004329	0.006916	0.004802	0.004802	0.012016	0.009854	0.012198	0.012962	0.012446	0.00644	0.003909	0.002605	-7871.002
259	0.003988	0.005298	0.007676	0.004826	0.00557	0.01391	0.003778	0.01478	0.017507	0.015117	0.008764	0.00575	0.002299	-7870.371
260	0.00395	0.005001	0.006621	0.003919	0.003758	0.018678	0.008394	0.015176	0.013012	0.014409	0.006838	0.006096	0.00334	-7861.468
261	0.003861	0.005649	0.006737	0.005554	0.004412	0.013851	0.006473	0.014614	0.011402	0.012519	0.005173	0.004552	0.002379	-7864.795
262	0.007186	0.002919	0.005606	0.009615	0.00447	0.012466	0.013325	0.009141	0.017519	0.010416	0.005622	0.004954	0.002553	-7867.864
263	0.006461	0.004764	0.005141	0.009038	0.004622	0.018648	0.006977	0.004745	0.028235	0.009891	0.006888	0.005449	0.004331	-7870.788
264	0.006508	0.004436	0.005403	0.007124	0.004492	0.013332	0.004323	0.009752	0.019903	0.011774	0.008864	0.00539	0.004395	-7863.54
265	0.003664	0.004943	0.004515	0.005433	0.004467	0.017635	0.010605	0.008249	0.016393	0.011518	0.005369	0.004135	0.003144	-7873.921
266	0.005282	0.00525	0.00716	0.004789	0.004595	0.013447	0.004818	0.011713	0.009626	0.013464	0.006294	0.004187	0.00282	-7858.397
267	0.005098	0.005034	0.006505	0.008324	0.003809	0.00586	0.009661	0.013497	0.023374	0.013606	0.005948	0.003766	0.001646	-7856.671
268	0.00486	0.006234	0.00471	0.006463	0.004129	0.009357	0.007159	0.012996	0.016751	0.01404	0.005686	0.004848	0.003013	-7852.951
269	0.006178	0.006142	0.00614	0.009112	0.004783	0.009434	0.00403	0.01637	0.056558	0.012304	0.007852	0.004935	0.003557	-7870.748
270	0.00684	0.007448	0.006549	0.008218	0.005791	0.010919	0.014222	0.011952	0.021111	0.016993	0.009625	0.004675	0.002784	-7870.316
271	0.004326	0.004953	0.007619	0.005583	0.006424	0.009423	0.004658	0.0138	0.010974	0.011679	0.007389	0.005517	0.002757	-7860.701
272	0.00689	0.005412	0.00373	0.009591	0.005523	0.018092	0.013227	0.007168	0.008101	0.011675	0.008167	0.005466	0.001633	-7859.819
273	0.006952	0.004523	0.006088	0.004703	0.005236	0.026679	0.005895	0.008029	0.013582	0.010501	0.007779	0.005592	0.001641	-7871.385
274	0.008872	0.004908	0.007535	0.009854	0.004948	0.017095	0.006673	0.024038	0.023661	0.012821	0.006734	0.005038	0.003984	-7865.571
275	0.006726	0.00489	0.00605	0.0099	0.005595	0.015421	0.008604	0.008495	0.009833	0.012967	0.006818	0.006083	0.002267	-7866.439
276	0.00423	0.003716	0.004617	0.006275	0.004212	0.008877	0.010122	0.004221	0.028975	0.010763	0.004774	0.003185	0.001537	-7870.717
277	0.003313	0.005233	0.00996	0.009557	0.003988	0.012373	0.004533	0.025721	0.007158	0.00956	0.006719	0.005462	0.00246	-7850.698
278	0.00437	0.004643	0.008277	0.010637	0.005106	0.032208	0.00489	0.013021	0.013371	0.010692	0.006595	0.004299	0.002632	-7865.628
279	0.004555	0.005132	0.010109	0.007395	0.006236	0.013586	0.007388	0.011085	0.014004	0.013	0.006731	0.004968	0.003022	-7867.293
280	0.004584	0.003856	0.006839	0.008436	0.00714	0.006968	0.00684	0.023232	0.005377	0.015071	0.009174	0.006297	0.00531	-7876.601
281	0.007162	0.004195	0.006377	0.004608	0.005092	0.008186	0.00548	0.005252	0.030408	0.013554	0.006909	0.0047	0.002564	-7873.489
282	0.006595	0.004686	0.006099	0.003875	0.004688	0.009972	0.006395	0.011497	0.01051	0.01561	0.005942	0.004705	0.003372	-7867.918
283	0.005275	0.004008	0.00731	0.00668	0.005221	0.010482	0.007073	0.007139	0.013074	0.013528	0.006098	0.004521	0.003169	-7869.586
284	0.005935	0.005361	0.004999	0.007826	0.005448	0.007291	0.005558	0.011293	0.02099	0.014216	0.006943	0.003696	0.003294	-7857.317
285	0.005002	0.005682	0.004614	0.008392	0.005855	0.018934	0.008782	0.020037	0.014473	0.012721	0.005754	0.003983	0.001455	-7893.638
286	0.003815	0.004586	0.004501	0.006166	0.003985	0.0096	0.005396	0.004753	0.024535	0.016975	0.006611	0.004621	0.001513	-7869.605
287	0.004926	0.003994	0.005905	0.004732	0.004341	0.016692	0.008469	0.018114	0.013312	0.01497	0.008488	0.004977	0.003608	-7878.275
288	0.006862	0.004731	0.006873	0.007418	0.006517	0.008878	0.014799	0.008352	0.018844	0.014272	0.006731	0.003916	0.002397	-7877.178
289	0.004506	0.003749	0.010243	0.004963	0.004275	0.004894	0.011265	0.01268	0.010667	0.015016	0.005514	0.004374	0.002775	-7869.731
290	0.003557	0.007641	0.005904	0.012894	0.004191	0.008638	0.009309	0.012172	0.012542	0.011728	0.005897	0.004606	0.002508	-7868.649
291	0.004764	0.004965	0.006154	0.008927	0.005293	0.008857	0.004286	0.008658	0.010399	0.013753	0.007714	0.004751	0.00284	-7883.339
292	0.004599	0.004975	0.005793	0.005388	0.004832	0.010962	0.007517	0.009372	0.008353	0.014975	0.007014	0.004993	0.004417	-7861.658
293	0.005112	0.005196	0.004868	0.007394	0.005758	0.009886	0.00671	0.015216	0.020687	0.012471	0.007242	0.004286	0.001748	-7858.439
294	0.005491	0.003923	0.007577	0.006595	0.00525	0.007419	0.005866	0.012056	0.014799	0.01402	0.008392	0.003702	0.002307	-7865.413
295	0.005303	0.004579	0.00581	0.009152	0.005154	0.014367	0.009107	0.005798	0.009688	0.014377	0.006349	0.004034	0.001964	-7872.552
296	0.005161	0.004291	0.005613	0.006756	0.004992	0.02206	0.006262	0.010233	0.012715	0.012976	0.007244	0.004472	0.002232	-7876.13
297	0.00563	0.004692	0.007764	0.004175	0.005796	0.007536	0.006849	0.018112	0.012732	0.01934	0.008102	0.004383	0.003129	-7869.41
298	0.006119	0.00669	0.004966	0.011965	0.006346	0.016452	0.004364	0.015459	0.028211	0.016573	0.009253	0.005069	0.002261	-7862.881
299	0.005265	0.005174	0.005832	0.013604	0.004036	0.011368	0.004146	0.01424	0.011268	0.011361	0.006745	0.003622	0.00296	-7848.463
300	0.005553	0.004962	0.008967	0.005991	0.005044	0.009834	0.005922	0.021043	0.009275	0.013991	0.006135	0.005203	0.003241	-7864.279
301	0.004431	0.00394	0.006091	0.00718	0.005926	0.005834	0.007737	0.014648	0.012493	0.013504	0.005849	0.005682	0.002224	-7878.249
302	0.006965	0.003584	0.006956	0.006705	0.005125	0.010137	0.005075	0.016856	0.012507	0.012706	0.007988	0.004647	0.003164	-7858.599
303	0.004618	0.004652	0.00703	0.012866	0.004107	0.008138	0.008749	0.009233	0.010557	0.018228	0.00773	0.00614	0.002819	-7876.893
304	0.005362	0.00554	0.00571	0.006742	0.006813	0.012644	0.00781	0.011071	0.016559	0.014765	0.007146	0.004946	0.001642	-7859.42
305	0.006942	0.004787	0.00645	0.008836	0.003941	0.009092	0.006826	0.015555	0.007624	0.010958	0.006906	0.004869	0.002608	-7871.79
306	0.004288	0.004713	0.009139	0.012519	0.00497	0.02082	0.009362	0.00748	0.011773	0.015075	0.007123	0.005175	0.002994	-7888.065
307	0.004517	0.00469	0.005139	0.005432	0.007256	0.010953	0.005369	0.004784	0.009502	0.015061	0.00726	0.005309	0.002618	-7868.162
308	0.006255	0.006716	0.00555	0.005026	0.004658	0.010342	0.006235	0.012448	0.007349	0.011942	0.007385	0.005805	0.003275	-7876.462
309	0.003971	0.00439	0.005697	0.013527	0.0042	0.017444	0.004464	0.008882	0.012149	0.011662	0.006574	0.004129	0.002932	-7873.851
310	0.007592	0.005445	0.007204	0.00524	0.004339	0.009784	0.004954	0.009928	0.01619	0.014764	0.007417	0.004467	0.004027	-7859.918
311	0.006199	0.006231	0.00774	0.006605	0.004825	0.007045	0.008323	0.015953	0.010087	0.013334	0.007214	0.003784	0.002249	-7866.534
312	0.00434	0.005875	0.008016	0.007349	0.003164	0.010599	0.004551	0.014518	0.006522	0.013388	0.006073	0.004521	0.00344	-7862.452
313	0.004007	0.003583	0.007965	0.00473	0.00641	0.013793	0.00553	0.009194	0.007258	0.009404	0.006793	0.005775	0.002896	-7864.835
314	0.006451	0.004204	0.006408	0.010869	0.007388	0.01019	0.006646	0.010668	0.005873	0.011158	0.006998	0.0039	0.002777	-7858.258
315	0.004294	0.005458	0.005518	0.005971	0.004877	0.009809	0.00569	0.009497	0.005795	0.010252	0.008055	0.004179	0.003405	-7865.591
316	0.006161	0.005033	0.006592	0.007387	0.005243	0.010441	0.005137	0.015388	0.010304	0.014324	0.00656	0.004868	0.002392	-7869.271
317	0.005922	0.003663	0.00674	0.008544	0.004821	0.012752	0.008423	0.006719	0.00896	0.015091	0.006782	0.004767	0.003103	-7853.57
318	0.004533	0.004176	0.008018	0.006669	0.004441	0.011185	0.013035	0.015964	0.029463	0.014544	0.00594	0.004077	0.003935	-7869.588
319	0.002469	0.003691	0.003505	0.016159	0.004348	0.011319	0.011112	0.006331	0.020797	0.01005	0.006318	0.003509	0.002012	-7867.948
320	0.005852	0.003704	0.005729	0.0122	0.004814	0.009007	0.007491	0.014457	0.009549	0.014981	0.007671	0.005584	0.002687	-7850.389
321	0.004903	0.005846	0.009428	0.011698	0.007447	0.020928	0.006435	0.006937	0.017802	0.014634	0.008054	0.004907	0.002795	-7878.879
322	0.00443	0.005657	0.006049	0.004273	0.00519	0.010315	0.01052	0.010411	0.01168	0.016196	0.007015	0.005211	0.004795	-7872.715
323	0.004532	0.003907	0.006513	0.00579	0.005309	0.014661	0.007875	0.006489	0.007134	0.012971	0.006565	0.005934	0.003356	-7879.134
324	0.004067	0.004704	0.005048	0.004513	0.004816	0.010111	0.006941	0.018757	0.007463	0.015027	0.007821	0.003953	0.002232	-7855.162
325	0.005608	0.005613	0.006209	0.010327	0.003643	0.008503	0.003888	0.011252	0.012572	0.013217	0.007439	0.004006	0.003566	-7854.74
326	0.00624	0.004472	0.006984	0.006565	0.0052	0.00782	0.008727	0.009419	0.013948	0.0151	0.007189	0.00409	0.003723	-7872.044
327	0.004757	0.004884	0.003765	0.005628	0.006057	0.008864	0.008176	0.017208	0.011753	0.015038	0.006062	0.003802	0.001599	-7861.748
328	0.005027	0.003771	0.008374	0.003305	0.005222	0.013083	0.008498	0.00696	0.025586	0.016983	0.00785	0.006473	0.00315	-7873.018
329	0.004386	0.004325	0.006403	0.005282	0.006174	0.014962	0.005587	0.01153	0.072224	0.014784	0.007337	0.003686	0.003547	-7874.43
330	0.005434	0.00418	0.005658	0.008975	0.005328	0.011178	0.006237	0.009058	0.017608	0.016673	0.008084	0.00424	0.003989	-7863.416
331	0.005053	0.003762	0.005345	0.004887	0.005099	0.024549	0.005899	0.004571	0.013292	0.015484	0.006746	0.004255	0.00363	-7870.781
332	0.005058	0.003549	0.004911	0.007205	0.005999	0.008287	0.004469	0.016733	0.008776	0.017193	0.008315	0.003609	0.002494	-7875.692
333	0.005411	0.005621	0.004435	0.004221	0.005828	0.006896	0.006153	0.007616	0.022745	0.015601	0.00867	0.003965	0.003115	-7862.043
334	0.00453	0.00474	0.008234	0.005374	0.005119	0.012418	0.006844	0.010115	0.026871	0.017309	0.008606	0.004529	0.002436	-7854.921
335	0.005555	0.004391	0.009955	0.006447	0.004856	0.008083	0.008036	0.01137	0.03004	0.013797	0.00815	0.004268	0.002506	-7863.267
336	0.007036	0.003242	0.005439	0.003748	0.005385	0.016424	0.009114	0.040186	0.011859	0.016889	0.007142	0.005034	0.003877	-7873.181
337	0.006994	0.004864	0.006625	0.005283	0.006674	0.011847	0.008454	0.012769	0.017921	0.013255	0.007265	0.00439	0.003192	-7856.958
338	0.004832	0.003943	0.00484	0.007512	0.004045	0.013785	0.006076	0.019811	0.019382	0.010669	0.006725	0.00496	0.001851	-7871.648
339	0.006092	0.003791	0.007486	0.008393	0.006545	0.011832	0.014343	0.011335	0.018282	0.010989	0.005996	0.004047	0.0034	-7876.672
340	0.004954	0.0048	0.005595	0.008478	0.005061	0.013326	0.007297	0.011188	0.009943	0.014009	0.008138	0.006127	0.001827	-7877.427
341	0.003437	0.004738	0.005962	0.005771	0.007506	0.01379	0.005301	0.011193	0.022526	0.018698	0.008413	0.005402	0.002109	-7864.409
342	0.005315	0.003629	0.005385	0.004756	0.005252	0.011808	0.005753	0.024044	0.017418	0.014402	0.006587	0.004427	0.00278	-7849.496
343	0.004979	0.005288	0.008555	0.009906	0.005958	0.012301	0.008074	0.006959	0.013612	0.012311	0.006393	0.004962	0.00269	-7847.323
344	0.004243	0.005456	0.007883	0.003778	0.005108	0.010432	0.006757	0.008965	0.034039	0.016658	0.009585	0.004109	0.003891	-7863.236
345	0.004532	0.004718	0.006367	0.010583	0.005836	0.014173	0.00765	0.008554	0.015873	0.012648	0.008085	0.004832	0.0026	-7873.46
346	0.006436	0.00356	0.006075	0.007269	0.005755	0.013946	0.007296	0.008078	0.045332	0.012551	0.005999	0.003641	0.002519	-7874.538
347	0.006156	0.004247	0.006072	0.003371	0.004446	0.019801	0.008926	0.00489	0.005371	0.011596	0.005136	0.004136	0.003252	-7866.272
